City_ID,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
2,Atuona,PF,80.11,-9.8,-139.03,clear sky,Villa Enata
7,Hithadhoo,MV,83.7,-0.6,73.08,overcast clouds,Scoop Guest House
9,Maine-Soroa,NE,85.82,13.21,12.02,clear sky,
10,Ambon,ID,82.4,-3.7,128.18,shower rain,Swiss-Belhotel Ambon
11,Nieuw Amsterdam,SR,82.4,5.88,-55.08,few clouds,Hotel Stardust
15,Ayotzintepec,MX,80.4,17.67,-96.13,overcast clouds,"Hotel ""Punta del Cerro"""
16,Avarua,CK,77.0,-21.21,-159.78,broken clouds,Paradise Inn
31,Hirara,JP,86.0,24.8,125.28,broken clouds,Hotel Atoll Emerald Miyakojima
34,Georgetown,MY,82.4,5.41,100.34,few clouds,Cititel Penang
35,Hilo,US,84.2,19.73,-155.09,clear sky,Hilo Hawaiian Hotel
44,Colombo,LK,82.4,6.93,79.85,scattered clouds,Galle Face Hotel
47,Bubaque,GW,81.54,11.28,-15.83,clear sky,Casa Dora
51,Mango,US,86.0,27.98,-82.31,clear sky,Embassy Suites by Hilton Tampa Brandon - OPEN
53,Deputatskiy,RU,83.82,69.3,139.9,scattered clouds,Baza Otdykha
58,Honiara,SB,89.6,-9.43,159.95,few clouds,Heritage Park Hotel
59,Seoul,KR,82.4,37.57,126.98,clear sky,LOTTE HOTEL SEOUL
63,Itoman,JP,82.4,26.12,127.67,light intensity shower rain,Southern Beach Hotel & Resort Okinawa
64,Natchez,US,77.0,31.56,-91.4,clear sky,Hampton Inn & Suites Natchez
68,Lamar,US,77.0,33.67,-95.58,clear sky,Kings Inn Paris TX
70,Yellowknife,CA,80.01,62.46,-114.35,few clouds,The Explorer Hotel
71,Cherskiy,RU,84.18,68.75,161.3,broken clouds,Gostinitsa
73,Cabo San Lucas,MX,82.4,22.89,-109.91,clear sky,Hotel Tesoro Los Cabos
74,Sabha,LY,75.11,27.04,14.43,clear sky,محطة ام الارانب -سبها مواصلات
89,Lorengau,PG,85.77,-2.02,147.27,few clouds,Lorengau Harbourside Hotel
92,San Andres,CO,80.6,12.58,-81.7,scattered clouds,Hotel Arena Blanca
100,Bengkulu,ID,78.04,-3.8,102.27,overcast clouds,Grage Hotel Bengkulu
104,Puerto Penasco,MX,86.0,31.32,-113.53,clear sky,Playa Bonita Resort
105,Chokurdakh,RU,76.41,70.63,147.92,clear sky,
111,Avera,US,82.4,33.19,-82.53,thunderstorm,
121,Dubai,AE,86.0,25.26,55.3,clear sky,"Radisson Blu Hotel, Dubai Deira Creek"
122,Vaini,TO,80.6,-21.2,-175.2,scattered clouds,Keleti Beach Resort
129,Faanui,PF,77.56,-16.48,-151.75,overcast clouds,Bora-Bora Pearl Beach Resort & Spa
132,Kapaa,US,82.4,22.08,-159.32,broken clouds,Sheraton Kauai Resort at Coconut Beach
136,Jamestown,US,77.0,42.1,-79.24,overcast clouds,Hampton Inn & Suites Jamestown
150,Olinda,BR,78.8,-8.01,-34.86,few clouds,Hotel 5 Sóis
153,Pontianak,ID,78.82,-0.03,109.33,scattered clouds,Aston Pontianak Hotel & Convention Center
157,Mineros,BO,75.2,-17.12,-63.23,light rain,Residencial Imperial
159,Santa Maria,BR,77.0,-29.68,-53.81,scattered clouds,Hotel Morotin
164,Tura,IN,78.17,25.52,90.22,clear sky,Hotel RIKMAN Continental
166,Jerusalem,IL,80.01,31.77,35.22,clear sky,Notre Dame of Jerusalem Center
170,Broome,US,75.99,42.25,-75.83,clear sky,Chenango Valley State Park
172,Kalmunai,LK,81.73,7.42,81.82,overcast clouds,VS Villa
174,Gat,IL,82.0,31.61,34.76,clear sky,רגע בנחת
181,Bathsheba,BB,82.4,13.22,-59.52,haze,Atlantis Hotel
183,Westport,US,75.99,41.14,-73.36,overcast clouds,The Westport Inn
187,Noumea,NC,77.0,-22.28,166.46,clear sky,Hôtel Le Lagon
188,Shingu,JP,77.0,33.73,135.98,scattered clouds,Shingu UI Hotel
